Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Python Developer,"New York, NY","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",60654,67134,74252,79078,83472
Python Developer,"Los Angeles, CA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",57850,64030,70819,75422,79613
Python Developer,"Chicago, IL","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",54474,60294,66687,71022,74968
Python Developer,"Houston, TX","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",52085,57650,63763,67907,71680
Python Developer,"Phoenix, AZ","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",51307,56788,62809,66892,70608
Python Developer,"Philadelphia, PA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",54838,60697,67132,71496,75468
Python Developer,"San Antonio, TX","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",49125,54374,60139,64048,67607
Python Developer,"San Diego, CA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",55772,61731,68276,72714,76755
Python Developer,"Dallas, TX","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",51255,56731,62746,66824,70537
Python Developer,"San Jose, CA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",65172,72135,79783,84969,89690
